frequency,recency,T,monetary_value,pred_purchases,est_trans_value,clv
6.0,238.0,330.0,215.99333333333334,3.09,250.1082769464239,749.1299724075692
1.0,179.0,253.0,162.6,0.97,303.64888631043146,274.8108883400869
5.0,276.0,392.0,751.914,2.27,688.6078669808885,1507.922237389573
1.0,169.0,256.0,647.1,0.96,525.0187335448054,469.95186067868286
11.0,358.0,389.0,227.98363636363638,4.7,246.93471787850058,1125.3808346790115
7.0,281.0,326.0,868.7842857142857,3.59,803.9754608728074,2801.04861511984
2.0,149.0,304.0,203.64999999999998,1.33,285.16175867875097,362.72574039131314
1.0,35.0,186.0,85.0,1.23,268.1931584561747,300.9020944908917
4.0,227.0,299.0,434.995,2.35,432.08961533791506,982.693600557902
1.0,111.0,395.0,437.97,0.67,429.46646078500225,257.57802914494926
1.0,266.0,373.0,497.34000000000003,0.7,456.59283401576545,297.12854825919675
13.0,354.0,389.0,649.3576923076923,5.51,630.3371203172571,3366.9757073448745
1.0,156.0,297.0,117.09,0.85,282.8551984928126,222.43670404930822
4.0,122.0,354.0,254.315,2.04,292.8008403587337,575.2039380940327
1.0,38.0,80.0,378.48,2.14,402.28525910910355,830.5239315225646
3.0,351.0,379.0,1590.8466666666666,1.52,1259.2424655051132,1830.2721167973577
1.0,50.0,92.0,759.1800000000001,1.97,576.2285013013144,1093.2033107276761
6.0,299.0,323.0,631.0500000000001,3.15,596.535178616241,1820.0912003191424
3.0,84.0,122.0,134.95000000000002,3.62,216.49712809690024,772.9956287298992
1.0,69.0,183.0,281.02,1.24,357.75542358493,414.1732042048355
2.0,134.0,183.0,226.07,1.98,299.2241584099205,574.7561462482108
2.0,355.0,393.0,392.7,1.07,403.7387733610702,411.5553084920148
1.0,58.0,100.0,836.08,1.88,611.3643965589476,1100.353364861902
1.0,155.0,234.0,631.9300000000001,1.03,518.0875042722657,499.2302395222678
12.0,360.0,390.0,529.0516666666666,5.09,519.4316494108715,2565.136780340348
2.0,349.0,380.0,721.6899999999999,1.1,610.0897496125178,640.5147347923456
1.0,198.0,254.0,414.98,0.97,418.9622445044692,378.56756390103453
2.0,268.0,346.0,1666.74,1.19,1202.8493778882425,1369.9715712281345
1.0,18.0,65.0,201.15,2.39,321.26252431019435,743.7204670086305
4.0,268.0,303.0,399.4375,2.33,404.6778341982082,910.0969152365037
2.0,185.0,305.0,440.81,1.33,433.91460079490446,550.5016469270902
5.0,196.0,234.0,152.93200000000002,3.48,204.67155776759216,693.7759471927479
11.0,361.0,389.0,196.2709090909091,4.7,218.31463736894452,994.9498306900042
3.0,82.0,115.0,325.32,3.76,352.84432527600507,1311.885500725702
5.0,345.0,376.0,395.68199999999996,2.35,400.79688217054195,910.4003240620864
4.0,337.0,382.0,534.97,1.91,509.16176100176085,937.7987459919673
2.0,218.0,288.0,1147.155,1.39,876.9523232798701,1167.9596270209402
15.0,303.0,325.0,720.7800000000001,7.35,698.8651387057332,5003.190007336542
5.0,280.0,353.0,372.604,2.48,382.1514435028951,917.0091546315491
1.0,87.0,253.0,1511.3700000000001,0.97,919.9069025215904,817.7722187892389
1.0,38.0,80.0,853.86,2.14,619.4881445131833,1278.9425355831158
3.0,237.0,350.0,700.9633333333333,1.62,621.888374438248,968.5964828614623
1.0,44.0,221.0,410.56,1.08,416.94273010864686,407.13601011230224
2.0,143.0,182.0,648.895,1.99,564.430856283772,1088.7856848317783
1.0,13.0,205.0,130.0,1.14,288.7538253819679,290.07023093365467
1.0,64.0,113.0,509.9,1.74,462.33154460660904,766.9448109901592
3.0,165.0,200.0,540.19,2.55,506.7389633905939,1254.671524850362
1.0,193.0,284.0,572.69,0.88,491.0205285237326,403.31525839269943
5.0,226.0,268.0,558.516,3.12,532.355568365516,1614.2418376557903
2.0,264.0,351.0,384.32500000000005,1.18,398.48575829646074,448.24742112097067
3.0,259.0,325.0,463.49,1.73,451.80472993134424,750.1112508840206
22.0,328.0,352.0,582.6418181818182,9.94,574.423370928089,5559.186931648597
2.0,264.0,358.0,294.09999999999997,1.16,341.8943213765334,378.05775444415985
4.0,314.0,353.0,341.21000000000004,2.05,359.7894284803629,709.8472499372988
2.0,87.0,122.0,82.375,2.64,209.09496441480883,540.5010281807508
2.0,137.0,219.0,705.8299999999999,1.73,600.1419503379261,1000.907850990847
9.0,244.0,274.0,295.76444444444445,5.22,310.52800613505553,1581.9545471230012
1.0,44.0,325.0,85.65,0.79,268.49014586732505,184.37099006139238
1.0,212.0,383.0,639.08,0.69,521.3543657949195,329.5766578929523
1.0,252.0,326.0,81.8,0.79,266.73106658589603,195.33509985259158
5.0,299.0,334.0,1176.358,2.6,1031.529461999985,2596.433676020039
1.0,281.0,323.0,538.64,0.79,475.462957216549,351.6421180657895
1.0,25.0,235.0,12.75,1.03,235.18186544753996,213.14951559188722
2.0,75.0,140.0,473.835,2.4,454.6287288556482,1066.2562040016985
1.0,111.0,323.0,204.4,0.79,322.74746136594604,233.09503769710082
8.0,326.0,358.0,1815.3025,3.75,1635.105031559773,5944.067619079735
23.0,359.0,383.0,698.5304347826087,9.66,684.9569139899551,6431.386932428493
22.0,373.0,395.0,514.5177272727273,9.01,509.79130628113154,4461.667374212539
6.0,361.0,383.0,660.3183333333333,2.73,620.963982796488,1634.7548804980588
2.0,126.0,179.0,133.88,2.02,241.400223030058,471.62504419965455
2.0,137.0,322.0,165.68,1.27,261.3459996335901,316.4812944345131
1.0,74.0,165.0,534.76,1.34,473.6901708238362,596.1180147966512
3.0,104.0,290.0,367.1266666666667,1.9,382.78718299203763,699.4984752574228
2.0,51.0,341.0,82.725,1.21,209.31449340258357,240.5551403083466
3.0,150.0,190.0,1116.3133333333333,2.65,919.3712149506249,2369.4380532235623
8.0,353.0,378.0,299.465,3.58,315.35657512840703,1093.3943415430697
14.0,364.0,387.0,1406.8042857142857,5.93,1329.759149673209,7658.965540554055
1.0,65.0,333.0,789.75,0.77,590.1960476995699,404.5281580028998
9.0,365.0,387.0,273.7477777777778,3.91,291.0798851320112,1103.2946989440557
6.0,347.0,392.0,1450.3666666666668,2.67,1280.3775478986095,3302.7305523000896
4.0,137.0,163.0,386.6125,3.77,394.7908597732137,1459.5350600005072
1.0,86.0,128.0,605.4,1.6,505.9658488602369,771.9117285710154
2.0,152.0,192.0,357.355,1.91,381.56948172421977,706.1792914404198
3.0,213.0,241.0,419.27,2.2,420.1333895979933,895.8877253023898
3.0,237.0,281.0,341.37999999999994,1.95,364.34685186473445,684.2710988216242
2.0,212.0,311.0,469.755,1.31,452.0696480838742,564.1584126404281
4.0,205.0,304.0,1313.35,2.32,1109.2259444658694,2487.3456018799225
2.0,300.0,346.0,455.35,1.19,443.034462172746,504.61201837001164
1.0,18.0,49.0,398.90000000000003,2.73,411.6152328563191,1105.031851092243
1.0,9.0,51.0,268.0,2.68,351.8065372877338,922.3304916045195
1.0,4.0,190.0,170.0,1.21,307.0299737604508,323.73670775731273
1.0,132.0,248.0,2784.82,0.98,1501.7509313360658,1373.642233417292
2.0,196.0,339.0,361.925,1.21,384.4359030788783,445.5604501294853
15.0,363.0,389.0,313.32533333333333,6.31,321.32767242234434,1968.3754558471505
95.0,370.0,392.0,238.51326315789473,38.24,240.78455013206403,8965.683646321166
2.0,122.0,178.0,986.79,2.02,776.367277209888,1523.3020458121136
8.0,328.0,350.0,651.97,3.82,622.2614575015762,2306.8573753238607
4.0,279.0,395.0,1164.2425,1.86,994.2768575984339,1778.1728231745192
4.0,349.0,392.0,745.26,1.87,671.2773050042626,1208.698639776016
1.0,7.0,121.0,25.0,1.66,240.77893588845035,368.54958020895594
5.0,169.0,298.0,251.516,2.86,284.3206575860902,788.4951625100988
2.0,41.0,64.0,1102.145,3.84,848.7208954520405,3268.379810408876
1.0,21.0,66.0,127.96000000000001,2.37,287.8217418146653,661.4671015196066
2.0,206.0,259.0,287.425,1.52,337.7075899668298,491.3983929786532
6.0,365.0,393.0,394.84833333333336,2.67,399.38954014298776,1027.9336062785733
5.0,145.0,176.0,399.844,4.32,404.15949226390995,1714.810394360091
1.0,196.0,388.0,421.55,0.68,421.96410187563504,263.05254496332606
3.0,65.0,185.0,94.60000000000001,2.7,187.59756720927675,493.2736827348805
1.0,181.0,350.0,92.25,0.74,271.5057103497747,185.34913516786742
4.0,251.0,281.0,179.2075,2.48,234.89940319496984,562.9248784857862
1.0,30.0,58.0,131.8,2.53,289.57625205899967,716.4287508003464
1.0,59.0,81.0,254.03,2.12,345.4235924665487,711.1517763289065
1.0,206.0,333.0,180.92000000000002,0.77,312.0193622677766,223.37506199235605
5.0,121.0,220.0,242.91799999999998,3.65,277.3740642216553,987.8836342656989
1.0,35.0,157.0,147.09,1.39,296.56230977667474,381.5605661963889
3.0,293.0,331.0,389.48333333333335,1.7,398.79952127153285,651.8228650919682
3.0,153.0,245.0,508.15333333333336,2.17,483.7935953863848,1017.7136754351907
2.0,94.0,119.0,116.4,2.68,230.43631815490886,605.9914622710452
1.0,82.0,304.0,632.95,0.83,518.553546055917,390.90236336903206
1.0,142.0,333.0,375.33,0.77,400.846012424298,284.0837621973902
1.0,49.0,84.0,236.10000000000002,2.08,337.2313089558938,677.5430358543189
2.0,192.0,350.0,721.8,1.18,610.158744437247,687.9066112292168
1.0,35.0,91.0,329.34000000000003,1.99,379.83301082613735,722.4382357905347
6.0,337.0,391.0,266.48,2.68,292.2469556223561,755.5367215337948
9.0,285.0,336.0,480.6111111111111,4.41,473.80977783873715,2030.4296787225783
1.0,120.0,298.0,303.8,0.85,368.16369008647604,286.5205936630327
5.0,356.0,378.0,204.566,2.34,246.38828279425297,557.079485311647
36.0,309.0,393.0,159.95055555555555,14.63,168.33631908594919,2379.2803631876977
9.0,349.0,395.0,394.3211111111111,3.85,397.5866879968284,1480.1416048547794
8.0,219.0,249.0,310.9125,5.06,325.3232242283259,1607.4674700619635
12.0,365.0,389.0,344.52583333333337,5.1,351.53646328267735,1739.9335440226546
2.0,237.0,331.0,582.6,1.24,522.8489298708423,618.6448281377013
16.0,150.0,176.0,198.326875,12.68,213.8161334418627,2681.7406741204663
1.0,333.0,394.0,401.8,0.67,412.94025361375907,256.9134479185445
19.0,344.0,383.0,253.12157894736845,8.03,263.08301597628895,2051.908479401922
1.0,151.0,250.0,199.61,0.98,320.55889259762273,292.08709526737215
3.0,210.0,248.0,522.46,2.15,494.0403459299355,1029.0905626661117
3.0,245.0,329.0,512.4666666666667,1.71,486.88289995380205,799.8958498638631
3.0,167.0,385.0,381.39333333333326,1.5,393.00528465242814,563.0662332194853
2.0,30.0,59.0,114.75999999999999,3.99,229.40766804076446,922.3358682486719
3.0,247.0,340.0,792.3333333333334,1.66,687.329585796418,1097.7034067439379
1.0,70.0,152.0,497.64,1.42,456.72990512860406,611.5919041180451
4.0,210.0,246.0,409.75,2.76,412.62788673292596,1104.0311621454598
1.0,98.0,133.0,712.09,1.56,554.7129056227454,824.6959102612749
1.0,28.0,159.0,325.4,1.38,378.0328102108568,479.0530641838593
5.0,326.0,380.0,716.1659999999999,2.33,659.7259386729311,1484.7276716248962
2.0,19.0,49.0,169.47500000000002,4.35,263.72632108674753,1162.7939063401022
2.0,249.0,281.0,733.825,1.42,617.7011332315074,839.8982134412569
10.0,371.0,393.0,267.83000000000004,4.26,284.24171255442934,1173.3796552550973
1.0,284.0,338.0,1160.8999999999999,0.76,759.7758594664178,540.133982818056
1.0,169.0,211.0,459.15999999999997,1.12,439.1482503885035,461.3518958462158
2.0,226.0,354.0,354.24,1.17,379.6156737330247,423.8447313782255
1.0,196.0,247.0,978.23,0.99,676.3132588589813,625.488994149038
7.0,289.0,347.0,159.98714285714286,3.41,198.06568880969826,653.9524522696138
1.0,193.0,231.0,302.95,1.04,367.77532193343325,359.5020367398932
3.0,121.0,159.0,95.35000000000001,3.02,188.13473376852625,555.2897052367224
7.0,201.0,316.0,69.78571428571429,3.69,120.95769313526239,432.6696474194926
1.0,162.0,200.0,193.60000000000002,1.16,317.8129013037557,348.38826766143876
1.0,196.0,316.0,152.64,0.81,299.09812536418923,223.98744331055718
1.0,106.0,339.0,424.76,0.76,423.4307627830083,292.12482561741325
1.0,99.0,151.0,180.48000000000002,1.43,311.8183246356133,422.1570583552948
2.0,250.0,287.0,354.0,1.39,379.4651395699792,506.8948132811067
2.0,229.0,310.0,320.205,1.31,358.2680477361311,448.3447204250632
3.0,242.0,278.0,567.84,1.96,526.5425038749256,997.8198445547436
8.0,370.0,395.0,459.90875,3.45,455.0452893913541,1518.041048643323
2.0,217.0,246.0,302.4,1.58,347.1002945151912,526.9403044973207
2.0,242.0,341.0,634.27,1.21,555.2576807231852,640.373396604153
3.0,330.0,387.0,737.4333333333334,1.49,648.0089936593541,924.7723253870661
1.0,154.0,382.0,184.96,0.69,313.8652532540034,196.91681101346555
28.0,372.0,395.0,681.1767857142858,11.39,670.6350922489504,7425.95670239299
1.0,185.0,232.0,186.7,1.04,314.66026570846736,306.29137973694316
6.0,337.0,387.0,221.025,2.7,254.30795576996275,663.4138862406854
3.0,314.0,382.0,385.9333333333334,1.51,396.2569328910853,571.9694741061512
5.0,171.0,206.0,351.48,3.84,365.0847026061375,1370.5805609451759
30.0,358.0,395.0,1637.7126666666666,12.18,1591.3919848355085,18852.073827156546
6.0,128.0,324.0,212.3066666666667,3.14,247.03120190247958,749.5221894144221
3.0,349.0,386.0,307.90333333333336,1.49,340.3701240667665,486.85232612196194
6.0,232.0,264.0,267.4166666666667,3.72,293.02874412809604,1059.7054377130685
4.0,273.0,393.0,355.82,1.87,371.05248472591217,666.5526911375865
9.0,317.0,353.0,1465.3333333333333,4.23,1343.6506680203163,5517.845060073258
1.0,47.0,262.0,180.64999999999998,0.94,311.89599826622185,262.70129742208024
1.0,7.0,394.0,124.0,0.67,286.0124031251955,145.74996903054523
10.0,354.0,393.0,956.4780000000001,4.26,899.7300067900704,3714.1346435386836
8.0,312.0,355.0,247.66875000000002,3.78,270.260698435534,989.6626621567214
2.0,40.0,381.0,180.41000000000003,1.1,270.5850338905093,281.64399718248393
3.0,187.0,385.0,1193.8266666666666,1.5,974.887975700794,1397.0064544808686
1.0,183.0,240.0,372.6,1.01,399.5986652974666,378.1220574446389
3.0,248.0,318.0,302.8,1.76,336.71500405693985,569.5358882334511
4.0,154.0,176.0,257.22,3.56,295.04034606669546,1029.2306408018758
1.0,12.0,40.0,1368.4,2.97,854.5833791797979,2513.20382884639
2.0,355.0,392.0,406.04499999999996,1.07,412.10910005208075,421.02904023258696
30.0,358.0,381.0,157.381,12.57,167.47792701664426,2047.8523650380153
3.0,248.0,318.0,230.56333333333336,1.76,284.9775084769574,482.0246097187086
4.0,297.0,390.0,414.615,1.88,416.3783842438498,753.062271711641
5.0,287.0,322.0,408.03200000000004,2.68,410.774833793102,1066.9095266569173
1.0,10.0,168.0,253.44,1.33,345.1540192779661,409.4761870494592
4.0,344.0,386.0,389.31,1.9,396.8704007877496,724.3381955435062
11.0,351.0,394.0,737.88,4.65,707.1056408426923,3186.5988361962054
6.0,212.0,263.0,275.3833333333333,3.73,299.67811967513666,1087.1360777472185
6.0,259.0,344.0,404.3283333333334,2.99,407.3020188274161,1177.127327301868
2.0,268.0,345.0,235.58999999999997,1.2,305.19534687739304,348.4694609196609
14.0,305.0,386.0,443.8957142857143,5.95,442.20663677372386,2552.340235466344
3.0,202.0,276.0,143.0,1.98,222.26271583284495,423.7216420447039
2.0,214.0,316.0,337.65999999999997,1.29,369.2162719692963,454.5406666892683
3.0,218.0,269.0,293.69,2.02,330.19022091725583,643.1228019158456
2.0,161.0,310.0,309.94,1.31,351.8295761375381,440.1822358069922
19.0,332.0,393.0,709.65,7.85,692.7324559486397,5281.790840058668
1.0,18.0,91.0,112.80000000000001,1.99,280.8950815792203,529.903647844141
17.0,338.0,381.0,334.6117647058823,7.24,340.34308868640323,2394.893357225276
1.0,26.0,114.0,256.25,1.73,346.4379187015545,563.1846331575239
1.0,326.0,380.0,193.35,0.69,317.69867537639016,204.0796044400405
1.0,274.0,305.0,153.0,0.83,299.2626106995956,232.5264711561103
2.0,163.0,249.0,464.55,1.56,448.8049384228244,674.51749251916
15.0,354.0,382.0,470.55466666666666,6.41,467.01250312439305,2906.6846090488752
4.0,165.0,260.0,626.125,2.64,579.4344435522771,1481.1084702460532
3.0,235.0,305.0,555.5866666666667,1.82,517.7663960002537,907.4466770383284
5.0,354.0,390.0,194.99,2.28,238.651532613068,525.0133577993721
1.0,97.0,316.0,170.95,0.81,307.4640322844398,225.32481428373814
7.0,360.0,391.0,291.0214285714286,3.08,310.0793375520679,922.6847382404789
1.0,112.0,239.0,308.04,1.01,370.1009618145952,347.90204301897205
3.0,238.0,383.0,140.58,1.5,220.52945840166655,317.545297958985
12.0,303.0,345.0,828.6,5.65,791.9827728546009,4351.640290460731
1.0,149.0,180.0,332.09999999999997,1.26,381.0940650642526,453.5701913958302
4.0,147.0,211.0,610.2574999999999,3.11,567.2019627188579,1717.606007294753
3.0,68.0,117.0,429.9666666666667,3.72,427.79457843635623,1571.88535658399
1.0,32.0,58.0,165.86,2.53,305.1383924032778,755.3427991029964
7.0,337.0,393.0,388.67,3.06,393.5534658732917,1165.815165161939
3.0,138.0,379.0,282.6433333333334,1.52,322.27835435124314,467.933570014724
3.0,139.0,246.0,180.99,2.17,249.47199261402997,523.0098296112046
2.0,134.0,389.0,444.22,1.08,436.05344036150973,448.0751150956246
9.0,208.0,357.0,457.34222222222223,4.19,453.25552348366506,1841.2442706854054
1.0,85.0,143.0,178.20000000000002,1.49,310.7765841780398,437.1814689013342
11.0,350.0,380.0,477.39272727272726,4.8,472.0212643696342,2195.757342240063
4.0,245.0,338.0,463.425,2.12,454.0067056227176,929.9016892799231
1.0,12.0,58.0,504.0,2.53,459.63581272078284,1129.2980767638965
18.0,358.0,381.0,343.32,7.65,348.2132072718604,2589.3766374703428
1.0,41.0,276.0,80.8,0.9,266.274162876434,212.5819236869615
4.0,234.0,311.0,564.8525,2.28,532.1986041405441,1170.6179658699998
2.0,101.0,288.0,184.29999999999998,1.39,273.02494178320546,363.3644353183226
7.0,205.0,275.0,213.38285714285715,4.13,243.71060343448076,980.4682138870673
1.0,41.0,248.0,321.6,0.98,376.2965761149009,331.1371622020897
4.0,174.0,204.0,216.87,3.19,263.9339586944906,820.9548470047683
1.0,37.0,103.0,141.65,1.84,294.07675359720105,515.6863519764382
12.0,174.0,200.0,371.1233333333333,8.76,375.7368266268051,3241.123292693684
2.0,273.0,389.0,184.35,1.08,273.0563030671733,280.822158928858
1.0,26.0,94.0,115.19999999999999,1.95,281.99165048192924,523.1033767410404
3.0,212.0,380.0,355.1466666666667,1.51,374.2068424856255,542.4991943478494
7.0,362.0,385.0,302.42285714285714,3.12,319.82576085036334,964.6853153081739
30.0,372.0,395.0,542.4726666666667,12.18,537.8931860175413,6372.264902607229
2.0,208.0,266.0,76.175,1.48,205.20616520279944,292.07040472511727
16.0,360.0,388.0,1786.3868750000001,6.73,1692.0571502354749,11053.4665784698
8.0,293.0,374.0,441.2425,3.61,438.79370924185787,1535.4608164266726
2.0,59.0,395.0,683.05,1.07,585.8537493621883,592.052678187328
67.0,369.0,394.0,858.8646268656717,26.93,851.2547747471024,22317.082840738676
10.0,129.0,151.0,482.32,9.07,475.9449981671119,4279.195328218717
6.0,253.0,324.0,202.39999999999998,3.14,238.76260603394192,726.5230515020082
36.0,362.0,392.0,1281.0475,14.66,1253.60011521497,17879.699654915512
1.0,21.0,46.0,223.68,2.8,331.55656488437484,918.3090273285094
13.0,350.0,395.0,525.19,5.43,516.5714996551314,2722.4230910279857
2.0,183.0,338.0,212.82999999999998,1.22,290.9196904152423,338.0160639449139
13.0,217.0,239.0,353.93769230769226,8.24,359.6657481480646,2903.277137674174
1.0,140.0,234.0,342.36,1.03,385.7818971233335,371.0053713700783
2.0,238.0,310.0,256.98,1.31,318.6117041588255,398.7249990387082
4.0,260.0,330.0,778.7875,2.17,697.1241303480444,1457.6264816864064
1.0,63.0,92.0,350.06,1.97,389.3000556861915,740.6103237891354
4.0,301.0,395.0,276.505,1.86,309.9074261279834,554.2631933549533
13.0,255.0,278.0,450.47999999999996,7.3,448.12028370915493,3192.926562489071
5.0,220.0,256.0,489.084,3.24,476.2592819640922,1499.9767921642401
11.0,258.0,280.0,139.15272727272728,6.19,166.76665954485875,1007.7378709478196
3.0,63.0,96.0,332.07666666666665,4.21,357.68359912311064,1497.8276483985744
1.0,57.0,186.0,151.31,1.23,298.49044343060467,339.42205839869126
5.0,281.0,304.0,286.752,2.82,312.7889250656467,853.2153121799779
1.0,77.0,186.0,124.5,1.23,286.2408549799265,327.9211928146807
2.0,250.0,325.0,794.53,1.26,655.776868096835,788.2252770290977
1.0,14.0,73.0,407.8,2.25,415.68167587053154,897.8509831203435
4.0,356.0,388.0,779.465,1.89,697.6464247085073,1267.5449357184364
7.0,116.0,159.0,460.2485714285714,6.29,454.74185571931264,2823.8305058804417
1.0,24.0,53.0,193.23,2.63,317.64384693125476,821.8819269007972
2.0,125.0,148.0,269.83,2.31,326.67155413855465,736.008137019973
10.0,345.0,387.0,492.838,4.32,485.34560033072887,2030.7587485086183
3.0,227.0,256.0,234.33333333333334,2.1,287.6776657147849,583.7993812808544
10.0,343.0,389.0,458.329,4.3,454.50272335181114,1893.1225408266198
1.0,146.0,287.0,273.45,0.88,354.29666250430216,286.58143617915783
1.0,2.0,284.0,301.5,0.88,367.1128115547133,261.492248128523
6.0,277.0,351.0,277.6516666666667,2.94,301.5713832984677,856.5337436412535
2.0,336.0,392.0,643.87,1.07,561.2790472450063,573.4165058155903
2.0,123.0,148.0,271.36,2.31,327.6312094279699,738.1667442988173
2.0,291.0,333.0,396.31,1.23,406.00305806354663,477.95167657890084
3.0,232.0,298.0,1250.98,1.86,1015.8224549225365,1815.7178314322882
11.0,355.0,392.0,626.6363636363636,4.67,606.7105596652655,2746.4296821841217
1.0,98.0,324.0,96.4,0.79,273.4018607440423,195.94426222861537
8.0,362.0,386.0,247.875,3.52,270.44026789409327,920.6309254415575
8.0,366.0,392.0,755.9275,3.47,712.7709944139851,2393.796969380225
1.0,153.0,392.0,512.3,0.67,463.428113509318,283.8499049156593
9.0,326.0,380.0,857.2144444444444,3.98,806.4771751203336,3105.996091008601
5.0,241.0,292.0,516.992,2.91,498.8070288371613,1407.7188196073275
2.0,188.0,389.0,211.78,1.08,290.2611034519182,298.42317267969065
2.0,151.0,343.0,460.86,1.2,446.4904756659995,512.1305363749706
2.0,174.0,274.0,535.5450000000001,1.45,493.33482552872897,684.9884873971869
1.0,47.0,91.0,751.15,1.99,572.5595645143339,1093.071343457337
24.0,368.0,391.0,269.89708333333334,9.89,277.0895225075852,2663.1559635302265
3.0,140.0,299.0,307.9533333333333,1.85,340.4059351707165,606.4960574150552
6.0,336.0,387.0,210.01666666666668,2.7,245.11985420339298,639.4442853811158
