cust_id,invoice,total_sale,total_pieces
12422,522611,358.67,107
12422,526213,230,160
12422,529629,471.55,205
12422,532026,369.95,119
12423,520737,298.8,82
12423,533444,464.28,372
12424,511680,446.54,422
12424,526756,1132.53,863
12425,522917,964.21,651
12426,497926,762.48,326
12427,536861,303.5,79
12429,511962,894,398
12429,511963,513.36,352
12429,523887,1016.05,571
12429,523888,30.6,12
12429,538003,1281.5,454
12431,494511,1075.27,479
12431,494513,45,3
12431,500008,394.59,167
12431,509212,392.98,206
12431,509572,59.92,8
12431,513310,441.5,240
12431,514810,294.88,48
12431,516307,549.38,318
12431,516308,90,6
12431,519419,176,88
12431,521203,127,20
12431,529057,365.75,121
12431,536389,358.25,107
12433,519735,152.4,508
12433,522651,973.69,619
12433,530966,2292.18,1336
12433,536532,1919.14,1852
12433,537868,1867.98,1730
12434,534659,297.29,138
12435,489831,1008,480
12435,501119,728.88,328
12435,519722,1838.32,1067
12435,531395,2520.84,1028
12437,489883,578.28,263
12437,494897,537.78,334
12437,494899,72,4
12437,497360,1885.61,1532
12437,500176,334.06,217
12437,502467,391.59,265
12437,504477,347.42,180
12437,504709,114.48,216
12437,510651,150.8,177
12437,513334,610.26,325
12437,518007,220.75,98
12437,521373,170.3,155
12437,521569,268.31,179
12437,522712,75,53
12437,523022,180.83,99
12437,525298,253.55,86
12437,526864,340.5,129
12437,527255,447.06,259
12437,531357,326.37,177
12437,531778,180.6,41
12437,531779,246.44,289
12439,491726,1081.66,452
12439,495687,76.52,32
12440,493183,568.51,255
12440,521341,290.69,76
12441,537693,173.55,121
12443,490718,485.31,182
12445,527250,301.58,144
12449,524010,678.6,724
12449,528884,90,5
12450,519899,148.42,110
12450,522336,105.6,68
12450,531221,236.3,136
12451,513762,2151.27,1786
12451,521172,1389.31,892
12451,521174,93.78,106
12454,527113,4733.52,2232
12454,527760,220,1
12454,527796,4098.96,2232
12454,531561,4098.96,2232
12455,492742,1636.43,517
12455,502111,777.91,261
12455,507880,515.61,144
12455,523146,483.14,291
12457,524841,632.68,251
12458,518428,380.61,284
12458,526002,449.48,196
12459,504449,454.36,258
12460,521914,326.65,170
12466,495745,56.73,1
12467,526668,132.8,129
12468,495581,441.23,314
12468,503985,1888.31,1046
12468,514226,611.66,475
12469,512955,1956.84,2028
12469,514643,1113.7,524
12470,494860,211.95,95
12471,490563,808.12,372
12471,490564,367.9,132
12471,491780,615.22,338
12471,491784,675.05,202
12471,492711,6.75,1
12471,492713,6.75,1
12471,492950,801.43,390
12471,494009,345.18,148
12471,494010,126.15,45
12471,495605,455.02,226
12471,495609,54,3
12471,495794,41.09,1
12471,497371,368.15,184
12471,499482,523.05,202
12471,500882,109.6,40
12471,500883,274.9,133
12471,502491,828.8,289
12471,502614,69.6,48
12471,502672,19.8,4
12471,504532,713.13,372
12471,504533,101.76,88
12471,505883,956.9,288
12471,508523,648.58,332
12471,511117,507.65,55
12471,511118,386.65,195
12471,511121,125.4,18
12471,513876,751.5,336
12471,513879,17.7,6
12471,518231,541.2,196
12471,519914,405.4,258
12471,519915,66.4,22
12471,520529,25,1
12471,521040,103,101
12471,521765,600.2,205
12471,521766,20.28,36
12471,524109,758.9,224
12471,524110,131.4,102
12471,524111,532.48,380
12471,525169,373.68,165
12471,525170,535.8,212
12471,525417,35,1
12471,525748,336.37,209
12471,526894,1057.8,200
12471,532961,1452.3,696
12471,532962,68,8
12471,532975,252,14
12471,536239,1134,532
12471,536240,154.95,99
12471,536241,849.75,569
12472,491738,1286.43,903
12472,497238,748.98,427
12472,498907,298.55,146
12472,500535,397.07,253
12472,502037,298.4,168
12472,503532,727.49,589
12472,505851,545.37,313
12472,512386,1796.48,1253
12472,515347,664.58,350
12472,520076,866.8,544
12472,524610,753.44,447
12472,531506,1293.59,837
12472,537201,1631.3,972
12474,497593,158.7,163
12474,504697,284.59,215
12474,505710,645.1,330
12474,512063,77.68,56
12474,516568,274.12,219
12474,519592,613.33,314
12474,519593,18,1
12474,522029,675.17,384
12474,523340,504.51,315
12474,525112,837.78,628
12474,529286,54,3
12474,532486,453.1,288
12474,535431,452.58,191
12475,528957,426.26,236
12476,516962,1231.74,628
12476,522424,765.29,237
12476,522425,18,1
12476,524323,739.13,293
12476,525824,90,5
12476,527776,1269.74,807
12476,527777,175.5,10
12476,527783,198,11
12476,530259,1553.77,645
12476,530265,216,12
12476,531372,951.82,583
12476,531388,90,5
12477,502764,2021.23,841
12477,514369,2464.63,814
12477,530970,2570.77,811
12480,516453,451.9,271
12480,526085,1012.15,455
12480,531190,719.17,519
12481,504146,2969.6,2108
12481,504193,306,1
12481,522553,1809.35,1095
12481,528853,681.88,366
12481,535794,838.86,294
12481,537892,159.38,85
12482,498931,2087.68,2224
12482,498936,1087.52,1232
12482,498939,1087.52,1232
12482,498943,1087.52,1232
12482,498945,1087.52,1232
12482,503831,1103.8,1396
12482,503833,874.84,1180
12482,503834,1749.68,2360
12482,503835,874.84,1180
12482,503836,874.84,1180
12482,504871,642.75,409
12482,504872,772.35,1849
12482,504874,1503.45,831
12482,504875,753.65,435
12482,504879,2142.4,1244
12482,504927,479.6,1640
12482,504929,175,100
12482,505227,874.84,1
12482,505229,874.84,1
12482,508078,336.04,1636
12482,508080,768.44,612
12482,508081,206.44,196
12482,508082,1024.8,896
12482,508084,501.04,1736
12482,508086,120,168
12482,508087,120,168
12482,508088,240,336
12482,508089,120,168
12482,508090,120,168
12483,496326,301.7,101
12483,497496,87.4,41
12483,500884,430,175
12483,501403,46.8,24
12483,505669,281,146
12483,511549,206.2,53
12483,522333,417.2,221
12483,524408,115.6,37
12483,530180,288.1,115
12483,530206,141.6,48
12483,535433,320,101
12484,495947,565.3,434
12484,496095,96.5,13
12484,499470,45,8
12484,517351,881.23,602
12484,517904,125,5
12484,519171,115.4,18
12485,513789,708.1,414
12486,525167,1037.28,523
12487,491059,285.3,174
12490,489557,603.94,442
12490,496325,320.26,304
12490,496916,51,1
12490,497377,534.26,436
12490,500121,202.35,119
12490,500582,400.2,228
12490,507315,435.16,282
12490,515948,509,286
12490,521426,434.02,286
12490,525073,373.86,194
12490,535476,541.66,264
12492,530122,452,252
12494,508062,344.87,204
12494,528641,224.3,68
12494,537967,57.6,9
12495,500639,357.4,130
12496,502921,52.84,32
12496,502923,1.25,1
12497,500169,1211.76,893
12497,530799,3993.64,3556
12499,510354,393.72,302
12500,496911,311.43,203
12500,496914,90,5
12500,496976,124.45,37
12500,499270,220.01,50
12500,501463,123.6,41
12500,504125,457.55,226
12500,514692,145.5,51
12500,524851,224.85,86
12503,506839,1126,561
12504,505409,134.4,121
12504,527691,162.6,247
12505,529197,955.2,324
12507,506721,539.25,362
12510,490295,435.88,504
12510,494042,975.11,1
12510,494045,435.88,1
12510,495300,1120.46,434
12510,496618,17,20
12510,502633,429.9,225
12510,521496,781.22,511
12511,525764,3084.02,1753
12514,500455,580.08,400
12516,505023,689.46,512
12516,525300,647.1,565
12519,519733,385.7,212
12523,490684,74.56,62
12523,497391,405.4,294
12523,497612,131.78,37
12523,501042,255.1,124
12523,507130,512.43,244
12523,510966,244.88,162
12523,515928,231.45,68
12523,516905,132.28,76
12523,524827,266.59,175
12523,527978,202.58,88
12523,535960,116.83,78
12523,536186,8.5,2
12524,497336,558.9,214
12524,500376,703.2,337
12524,502393,1020.48,985
12524,518081,1108.8,533
12524,521401,468,195
12524,523017,1047.61,496
12524,523018,126,60
12524,529084,841.5,336
12524,533078,765.9,323
12525,499777,566.43,285
12525,510451,147.4,92
12525,517539,259.9,132
12527,513795,301.8,282
12527,517819,85,10
12529,513941,316.48,192
12530,500343,357,224
12530,505297,300.54,236
12530,519263,509.2,446
12530,522301,484.81,642
12530,528135,445.43,252
12531,495310,1807.98,1074
12533,489526,929.92,484
12533,501927,437.97,220
12537,529196,732.94,449
12538,535463,276.5,145
12539,493393,2565.83,1058
12539,493395,2583.23,1070
12539,522467,497.34,340
12540,490733,412.6,71
12540,493975,760.24,308
12540,496357,436.04,249
12540,496359,56,2
12540,499631,438.8,209
12540,502488,392.94,223
12540,504585,379.62,232
12540,506717,464.4,175
12540,508222,645.35,366
12540,508224,79.58,34
12540,512540,623.64,380
12540,520860,794.08,373
12540,524489,937.54,478
12540,526853,1340.42,835
12540,530650,475.95,87
12540,535396,617.05,312
12542,500734,364.79,353
12542,519004,117.09,169
12543,522943,980.25,688
12547,517236,175.78,175
12549,494110,408.42,263
12549,494113,150,120
12549,494234,5,1
12549,495815,595.95,569
12549,507793,324.51,377
12549,508177,91.8,36
12553,526646,537.99,184
12553,533949,378.48,176
12554,522902,468.5,240
12555,495747,129.23,1
12557,492439,1952.64,576
12557,511991,1708.56,504
12557,525008,2443.98,918
12557,536944,620,400
12562,524716,426,214
12562,533821,759.18,334
12563,529201,249.24,113
12567,497603,522.28,232
12567,507058,348.85,121
12567,513820,260.6,98
12567,518418,845.17,380
12567,533144,389.3,172
12567,537065,1526.92,611
12567,537468,415.46,167
12568,500167,70,48
12570,495801,77.52,1
12573,520892,152.02,73
12573,526402,165.46,93
12573,534174,126.11,83
12573,534633,113.28,146
12575,514219,341.8,158
12575,521790,281.02,157
12576,514319,374.75,143
12576,521651,15,12
12576,521651,165.87,111
12576,532556,271.27,261
12577,490139,210.55,79
12577,529072,431.82,330
12577,529073,25.05,11
12577,534669,254.03,265
12577,534670,74.5,40
12578,523448,1011.86,688
12578,534049,836.08,496
12580,507999,637.2,331
12582,507687,837.11,370
12582,526760,631.93,315
12583,490458,817.44,388
12583,499223,592.05,266
12583,503503,714,404
12583,507051,471.76,276
12583,509284,300.6,161
12583,510782,339.6,154
12583,514867,554.8,263
12583,519228,283.8,282
12583,522335,523.84,298
12583,525071,614.06,544
12583,532088,358.25,89
12583,533978,740,350
12583,536370,855.86,449
12586,492356,422.35,157
12586,528166,627.05,253
12586,536066,816.33,198
12588,505317,328.9,172
12588,531112,374.98,212
12588,531121,40,1
12589,494873,715.5,307
12589,521038,1055.75,363
12589,521097,1055.75,1
12589,521111,162,9
12589,526965,504.49,389
12589,527023,555.49,389
12591,529215,698.15,411
12591,532795,201.15,38
12592,515123,715.02,792
12592,515128,715.02,1
12592,515146,715.02,792
12594,499964,154.14,99
12594,512128,254.7,133
12594,521722,368.7,386
12594,527937,679.15,248
12594,535430,295.2,125
12595,516783,299.02,271
12598,499517,629.39,362
12598,499985,20.32,16
12598,521162,861.3,564
12599,507697,499.48,498
12599,511547,89.2,81
12599,520367,158.28,205
12599,526640,153.9,107
12599,531345,208.8,201
12599,534696,154.48,141
12600,490682,285.9,68
12600,491709,147.99,34
12600,494170,484.54,134
12600,495773,4.57,1
12600,498343,210.07,102
12600,507692,259.74,48
12600,518714,147.11,52
12600,522770,177.8,29
12600,525049,239.01,64
12600,532428,250.85,52
12600,535837,160.8,25
12600,536967,76.5,31
12601,529809,104.2,45
12605,521661,256.99,150
12605,526717,501.92,405
12605,533825,34,2
12605,535789,440.04,372
12606,495736,21,1
12608,529807,415.79,323
12609,492816,330.6,134
12609,503433,389.95,159
12609,510176,305.2,82
12609,517474,441.81,204
12609,524951,388.9,152
12609,536248,452.55,174
12613,491805,1350.81,903
12613,504097,392.62,170
12613,512538,787.17,766
12613,519501,509.95,483
12613,533315,450.14,197
12615,501663,1155.48,617
12615,516885,1212,668
12615,528419,914.7,505
12615,528422,167.61,151
12616,533104,417.8,214
12619,510324,140.14,140
12621,497383,274.44,182
12621,501638,1048.08,534
12621,507158,948.13,732
12621,509433,295.85,137
12621,512930,805.74,430
12621,515280,702.9,872
12621,517820,215.43,121
12621,517951,732.61,380
12621,520220,289.63,139
12621,520494,699.8,279
12621,522339,672.85,213
12621,528571,1087.76,839
12621,531205,620,420
12621,533763,800.1,302
12621,535666,1428.21,686
12621,537894,464.61,227
12623,494214,1579.72,818
12623,499682,344.1,116
12623,505083,414.77,215
12623,512083,381.2,196
12623,520848,360.8,241
12623,527767,362.15,195
12625,505453,969.69,524
12625,516189,1511.37,1173
12629,526715,704.36,349
12629,533818,853.86,373
12631,494619,738.18,262
12631,505337,910.93,471
12631,505338,15.3,6
12631,512097,534.14,242
12631,521922,371.06,198
12631,521922,271.46,192
12632,509447,394.32,387
12632,514864,410.56,307
12633,514387,2216.39,1470
12633,518271,689.09,336
12633,534392,608.7,270
12634,511685,360,336
12634,513122,130,1
12635,521839,731.33,540
12635,532636,509.9,237
12636,489444,141,1
12637,512276,697.84,420
12637,517252,215.95,119
12637,532306,533.04,310
12637,535472,871.58,433
12638,500754,249.8,86
12639,501910,253.58,145
12639,524942,572.69,285
12643,503810,2213.2,1100
12643,510348,91.2,240
12643,510824,15,1
12643,523186,222,81
12643,528154,639.3,410
12643,533952,1825.08,1145
12644,494442,671.93,325
12644,497218,196.2,43
12644,525308,572.45,339
12645,497374,373.65,227
12645,499881,473.09,221
12645,520899,277.93,215
12645,520899,169.05,79
12645,529186,470.4,299
12647,494357,1383.41,512
12647,496381,274.9,98
12647,496629,20.4,24
12647,497384,892.72,365
12647,498836,5.1,2
12647,499218,309.6,113
12647,500161,394.35,98
12647,501677,560.98,262
12647,503439,627.8,261
12647,505170,581.15,150
12647,508101,755.42,310
12647,509210,1318.63,418
12647,511460,460.95,261
12647,511461,456.05,195
12647,511462,290,1
12647,511463,571.35,293
12647,513815,237.6,79
12647,516839,566.95,251
12647,519656,671.25,272
12647,521375,619.14,354
12647,521899,288,122
12647,526642,741.88,291
12647,532470,665.7,307
12647,533822,539.4,170
12647,537197,286.5,80
12647,537198,85.5,11
12647,537594,596.8,155
12648,493876,205.75,104
12648,500584,106.05,65
12648,524207,482.15,189
12649,494268,306.3,160
12649,494611,79.2,48
12649,506907,396.3,228
12649,526485,393.6,573
12649,534387,495.74,364
12651,520876,99,78
12651,529601,65.45,31
12651,535424,99.3,78
12652,524978,97.05,31
12653,514221,1950.98,762
12655,526491,261.35,80
12656,509850,945,355
12656,517333,535.25,230
12656,526168,876.41,552
12661,524601,162,216
12662,503436,476.36,260
12662,506712,231.85,89
12662,508852,241.4,111
12662,511780,249.78,146
12662,514312,375.3,152
12662,518684,314.56,118
12662,522918,397.82,217
12662,532019,389.5,159
12662,534703,200.19,114
12662,536527,261.48,157
12663,497404,153.75,81
12663,502487,85.65,100
12664,491649,549.08,134
12664,515592,639.08,158
12665,497340,168.8,75
12665,527479,81.8,53
12666,532109,1248.42,370
12668,496340,1755.74,802
12668,500353,439.55,233
12668,500353,1527.29,881
12668,500654,145,1
12668,509199,634.77,248
12668,525698,1962.8,822
12668,535419,1172.38,455
12670,497601,225.6,49
12670,533827,538.64,181
12671,504332,2622.48,1460
12672,505555,211.15,60
12673,530433,619.5,349
12675,507660,945.75,336
12675,510860,12.75,1
12676,519166,405.58,350
12676,519167,118.45,73
12676,519169,40,1
12676,526222,683.79,644
12676,529200,263.88,129
12677,497662,190.7,75
12677,510660,204.4,101
12678,493863,2130.3,1888
12678,493924,180,1
12678,507122,6564.37,4557
12678,514809,816.6,292
12678,517485,110,1
12678,520021,1720.24,1162
12678,521037,99,1
12678,526267,4215.74,3040
12678,535836,816.47,507
12681,491698,1014.54,650
12681,493950,740.63,397
12681,495725,533.44,424
12681,497201,987.64,569
12681,497394,242.94,143
12681,499982,299.28,154
12681,502288,412.88,242
12681,504094,336.9,136
12681,505314,1112.06,572
12681,507252,394.85,284
12681,509985,363.01,177
12681,510668,34,2
12681,511855,851.93,467
12681,512744,1212.4,880
12681,514529,534.72,506
12681,521343,577.08,295
12681,521921,1095.37,578
12681,523583,594.7,342
12681,526911,690.78,386
12681,530394,660.2,497
12681,531568,819.35,332
12681,534364,1876.51,1104
12681,535389,662.01,338
12681,537463,1033.52,585
12682,489439,426.3,219
12682,490959,507.9,138
12682,492944,138.75,58
12682,494280,854.35,343
12682,496616,714.21,309
12682,497606,351.99,147
12682,498890,611.42,241
12682,500653,689.45,253
12682,504478,863.64,302
12682,507156,593.49,308
12682,510683,447.02,240
12682,511096,573.86,393
12682,513809,322.24,193
12682,515945,398.54,260
12682,520349,458.67,194
12682,521896,400.35,152
12682,522454,447.75,297
12682,522497,18,1
12682,526240,495.2,177
12682,531741,1119.16,470
12682,533956,238.11,272
12682,536974,336.24,132
12682,538093,739.05,344
12683,491710,258.3,157
12683,492830,975.06,763
12683,497376,324.3,172
12683,508097,732.42,430
12683,521214,607.74,367
12683,521952,259.31,143
12683,537897,213.88,107
12683,538008,849.2,557
12686,536852,89.14,107
12687,519342,280,1
12687,519343,1858.91,1402
12691,527234,134.6,51
12692,501114,110.95,36
12693,514682,579.35,202
12693,522325,157.96,66
12693,531487,109.8,13
12694,527123,973.68,846
12695,497798,493.66,156
12695,506267,249.7,64
12695,513971,81.66,14
12696,516193,317.15,204
12696,524878,534.76,360
12698,506278,339.75,111
12699,527496,638.11,373
12701,501438,547.32,363
12701,510453,301.5,116
12701,510936,620.6,435
12701,513769,179.28,135
12703,495360,557.53,342
12703,501160,92,51
12703,501437,73.45,38
12705,513336,1544.87,1247
12705,524828,1099.5,604
12705,529720,1421.29,944
12705,534183,248.75,65
12705,534184,579.4,331
12708,492716,205.47,92
12708,495280,323.65,193
12708,499454,279.2,122
12708,503531,222.11,106
12708,506578,395.35,151
12708,514063,330.5,158
12708,521958,251.32,132
12708,529958,397.15,171
12708,537250,196.44,89
12709,491093,1445.56,410
12709,491094,216,1
12709,495699,1834.14,1046
12709,495700,20.4,24
12709,495766,84.58,1
12709,501545,2917.76,1396
12709,503926,240.57,156
12709,503928,26.25,21
12709,505335,3857.2,1600
12709,507062,1224.36,156
12709,511083,1081.33,703
12709,512434,979.6,272
12709,516131,2903.71,2567
12709,516195,124.8,96
12709,517048,147.6,181
12709,522624,1866.98,754
12709,527133,920.76,272
12709,533555,386.4,34
12709,533624,556.12,218
12709,537673,522.7,139
12711,496373,549.3,308
12711,503782,789.75,462
12712,491050,333.8,196
12712,496975,228.58,158
12712,505970,257.62,144
12712,509195,282.75,195
12712,515019,243.6,52
12712,518286,292.96,133
12712,527296,427.45,132
12712,531028,260.14,133
12712,536983,175.53,60
12712,537995,295.1,84
12714,490152,682.65,238
12714,493964,1970.19,1309
12714,501284,1182.35,657
12714,506254,1242.63,951
12714,514165,806.06,564
12714,521822,1948.74,924
12714,533336,1552.23,1062
12717,506260,277.93,94
12720,516485,824.49,669
12720,516486,108,6
12720,520203,15,3
12720,520351,380.1,179
12720,528757,677.96,489
12720,537212,473.39,299
12721,520246,751.55,275
12721,534030,605.4,421
12724,513188,571.4,319
12724,516728,402.16,476
12724,534169,312.55,139
12725,506840,1008.95,705
12725,508637,220,1
12725,528176,610.01,272
12725,537022,427.8,164
12726,502636,381.36,362
12726,511825,155.52,217
12726,525249,557.46,558
12726,533548,311.16,338
12727,498768,759.32,337
12727,511703,534.43,221
12727,523613,405.08,176
12728,534068,233.84,124
12730,514823,829.25,234
12731,499681,1626.4,616
12731,508502,1209.14,638
12731,512171,505.56,396
12731,517270,1443.2,504
12731,523709,2095.5,1050
12733,494891,1130.22,391
12733,517673,508.1,134
12733,532985,402.6,234
12734,532568,130.35,87
12734,536075,398.9,90
12737,517481,100,1
12737,517483,3610.5,1
12738,536840,155.35,148
12739,532056,1445.69,463
12739,533824,268,2
12741,513468,236.07,213
12741,513784,170,1
12742,502429,1201.52,1359
12744,506142,1252.95,509
12744,521402,239.3,130
12744,521403,2382.92,1022
12744,521404,162.6,92
12745,495735,201.56,1
12745,508457,456.92,268
12745,518560,266.93,199
12746,512627,254.55,97
12747,490678,380.65,93
12747,491045,303.2,64
12747,492300,348.15,47
12747,497572,89.32,38
12747,498399,170.68,64
12747,500720,210.89,70
12747,505554,213.28,52
12747,510057,267.37,79
12747,512091,356.33,135
12747,513285,309.92,40
12747,517745,320.66,98
12747,520676,309.02,122
12747,525074,715.1,201
12747,526427,332.65,163
12747,533291,394.75,109
12747,537215,358.56,108
12748,490362,220.9,203
12748,491759,15,12
12748,492224,801.3,261
12748,492423,124.57,99
12748,492525,74.94,30
12748,492526,7.8,4
12748,492842,607,202
12748,494470,130.8,24
12748,494892,8.7,6
12748,495196,25.3,18
12748,495370,16.44,12
12748,495802,387.54,1
12748,496315,127.06,138
12748,496578,365.16,440
12748,496579,214.48,106
12748,496581,207.83,105
12748,496582,50.94,36
12748,497882,100,1
12748,498360,175.27,169
12748,498736,347.2,228
12748,498758,2.5,25
12748,498912,91.08,36
12748,499230,122.59,99
12748,499352,48.1,26
12748,500296,12.12,3
12748,500658,42.61,55
12748,501156,39.29,13
12748,501564,197.38,84
12748,502094,628.08,346
12748,502464,26.55,17
12748,503064,215.92,152
12748,503177,1.65,1
12748,503711,47.5,6
12748,504844,17.55,6
12748,506149,30.4,5
12748,506298,146.49,25
12748,507420,174.82,66
12748,507421,269.65,196
12748,507424,247.44,93
12748,508366,484.73,231
12748,508403,12.2,6
12748,509018,4.2,10
12748,509861,24.75,15
12748,510795,164.33,28
12748,510799,4.95,1
12748,511321,139.5,69
12748,511902,59.84,23
12748,513023,309.73,194
12748,513306,35.16,36
12748,514469,6.35,1
12748,514471,177,83
12748,515260,2.5,2
12748,515832,13.1,4
12748,515906,115.2,72
12748,516155,127.56,43
12748,516330,51.5,14
12748,516433,150.04,88
12748,516909,95,1
12748,517342,8.25,5
12748,517709,50,1
12748,517713,95,1
12748,517762,36.9,15
12748,517934,800,1
12748,517995,89.95,33
12748,518052,334.88,1
12748,518115,596.68,308
12748,518777,800,1
12748,518858,15.9,2
12748,518919,24.05,5
12748,518942,150,1
12748,519207,95,1
12748,521407,39.79,18
12748,521948,122.48,110
12748,521951,8.5,1
12748,522114,24.1,4
12748,522910,243.41,61
12748,523005,387.25,145
12748,523300,114.97,90
12748,523721,45,1
12748,523726,2.95,1
12748,524722,398.87,212
12748,524728,912.9,450
12748,525772,209.05,398
12748,525773,17,2
12748,525885,70.29,48
12748,525886,166.23,161
12748,525887,1.95,1
12748,526218,40.45,5
12748,526224,105.97,94
12748,526615,6.25,3
12748,526647,716.59,703
12748,527284,43.35,7
12748,527328,316.37,264
12748,527419,31.39,6
12748,527470,5.95,1
12748,528054,96.44,45
12748,528445,190.03,165
12748,528607,45,36
12748,528693,231.21,115
12748,528895,152.74,138
12748,528927,39.95,1
12748,529989,91.46,108
12748,530537,15.9,2
12748,531115,152.73,360
12748,531350,1116.05,1240
12748,531439,271.66,128
12748,531444,161.5,164
12748,531560,29.09,25
12748,531802,29.7,6
12748,532108,16.95,1
12748,532365,31.5,16
12748,532384,610.06,456
12748,532763,151.51,38
12748,532809,244.73,177
12748,532818,43.44,16
12748,533041,132.12,90
12748,533095,164.39,433
12748,533138,439.6,274
12748,533879,103.34,53
12748,533885,129.02,112
12748,534044,2.1,1
12748,534052,28,14
12748,534189,3.75,1
12748,534673,157.46,132
12748,534676,40.8,48
12748,535221,405.48,184
12748,535963,75.34,23
12748,536521,4.95,1
12748,536641,4.25,1
12748,537136,273.76,152
12748,537140,70.42,54
12748,537142,41.45,16
12748,537155,75.64,66
12748,537213,8.65,7
12748,537225,496.48,316
12748,537354,133.07,85
12748,537429,82.12,119
12748,537624,306.84,171
12748,537800,69.79,75
12748,537804,130.64,116
12748,537871,167.09,123
12748,538000,101.9,17
12748,538049,18.4,8
12748,538050,15.9,2
12749,514841,832.9,279
12749,526214,1198.82,408
12749,531131,429.01,165
12749,531132,345.75,37
12751,523305,268.27,189
12755,494590,2.95,1
12755,498765,34.06,19
12755,501172,110.4,48
12755,514599,18.3,10
12755,516432,617.5,358
12755,516785,617.5,358
12755,533359,5.9,2
12755,533361,2.95,1
12755,533971,14.75,5
12755,537899,3794.4,1488
12758,489599,2454.68,1403
12758,502326,1885.37,1158
12758,506309,85.54,46
12758,511621,1590.11,723
12758,521479,1095.95,690
12759,490158,508.26,281
12759,509460,1195.42,737
12759,514949,496.45,317
12759,524218,602.38,493
12759,533799,686.79,472
12760,521978,347.8,198
12761,520947,757.95,280
12761,521769,25,1
12763,537218,320.08,196
